============================= test session starts ==============================
platform linux -- Python 3.10.15, pytest-9.0.2, pluggy-1.6.0 -- /root/miniconda/envs/python310_torch25_cuda/bin/python3.1
cachedir: .pytest_cache
metadata: {'Python': '3.10.15', 'Platform': 'Linux-5.15.0-105-generic-x86_64-with-glibc2.31', 'Packages': {'pytest': '9.0.2', 'pluggy': '1.6.0'}, 'Plugins': {'html': '4.1.1', 'metadata': '3.1.1', 'timeout': '2.3.1', 'anyio': '4.9.0', 'typeguard': '4.4.4'}}
rootdir: /workspace/FlagGems
configfile: pytest.ini
plugins: html-4.1.1, metadata-3.1.1, timeout-2.3.1, anyio-4.9.0, typeguard-4.4.4
collecting ... vLLM not installed, the native pytorch implementation of FlashMLA for comparison
collected 51091 items / 51001 deselected / 90 selected

test_kron.py::test_kron[dtype0-shape0] PASSED
test_kron.py::test_kron[dtype0-shape1] PASSED
test_kron.py::test_kron[dtype0-shape2] PASSED
test_kron.py::test_kron[dtype0-shape3] PASSED
test_kron.py::test_kron[dtype0-shape4] PASSED
test_kron.py::test_kron[dtype0-shape5] PASSED
test_kron.py::test_kron[dtype0-shape6] PASSED
test_kron.py::test_kron[dtype0-shape7] PASSED
test_kron.py::test_kron[dtype0-shape8] PASSED
test_kron.py::test_kron[dtype0-shape9] PASSED
test_kron.py::test_kron[dtype0-shape10] PASSED
test_kron.py::test_kron[dtype0-shape11] PASSED
test_kron.py::test_kron[dtype0-shape12] PASSED
test_kron.py::test_kron[dtype0-shape13] PASSED
test_kron.py::test_kron[dtype0-shape14] PASSED
test_kron.py::test_kron[dtype1-shape0] PASSED
test_kron.py::test_kron[dtype1-shape1] PASSED
test_kron.py::test_kron[dtype1-shape2] PASSED
test_kron.py::test_kron[dtype1-shape3] PASSED
test_kron.py::test_kron[dtype1-shape4] PASSED
test_kron.py::test_kron[dtype1-shape5] PASSED
test_kron.py::test_kron[dtype1-shape6] PASSED
test_kron.py::test_kron[dtype1-shape7] PASSED
test_kron.py::test_kron[dtype1-shape8] PASSED
test_kron.py::test_kron[dtype1-shape9] PASSED
test_kron.py::test_kron[dtype1-shape10] PASSED
test_kron.py::test_kron[dtype1-shape11] PASSED
test_kron.py::test_kron[dtype1-shape12] PASSED
test_kron.py::test_kron[dtype1-shape13] PASSED
test_kron.py::test_kron[dtype1-shape14] PASSED
test_kron.py::test_kron[dtype2-shape0] PASSED
test_kron.py::test_kron[dtype2-shape1] PASSED
test_kron.py::test_kron[dtype2-shape2] PASSED
test_kron.py::test_kron[dtype2-shape3] PASSED
test_kron.py::test_kron[dtype2-shape4] PASSED
test_kron.py::test_kron[dtype2-shape5] PASSED
test_kron.py::test_kron[dtype2-shape6] PASSED
test_kron.py::test_kron[dtype2-shape7] PASSED
test_kron.py::test_kron[dtype2-shape8] PASSED
test_kron.py::test_kron[dtype2-shape9] PASSED
test_kron.py::test_kron[dtype2-shape10] PASSED
test_kron.py::test_kron[dtype2-shape11] PASSED
test_kron.py::test_kron[dtype2-shape12] PASSED
test_kron.py::test_kron[dtype2-shape13] PASSED
test_kron.py::test_kron[dtype2-shape14] PASSED
test_kron.py::test_kron[dtype3-shape0] PASSED
test_kron.py::test_kron[dtype3-shape1] PASSED
test_kron.py::test_kron[dtype3-shape2] PASSED
test_kron.py::test_kron[dtype3-shape3] PASSED
test_kron.py::test_kron[dtype3-shape4] PASSED
test_kron.py::test_kron[dtype3-shape5] PASSED
test_kron.py::test_kron[dtype3-shape6] PASSED
test_kron.py::test_kron[dtype3-shape7] PASSED
test_kron.py::test_kron[dtype3-shape8] PASSED
test_kron.py::test_kron[dtype3-shape9] PASSED
test_kron.py::test_kron[dtype3-shape10] PASSED
test_kron.py::test_kron[dtype3-shape11] PASSED
test_kron.py::test_kron[dtype3-shape12] PASSED
test_kron.py::test_kron[dtype3-shape13] PASSED
test_kron.py::test_kron[dtype3-shape14] PASSED
test_kron.py::test_kron[dtype4-shape0] PASSED
test_kron.py::test_kron[dtype4-shape1] PASSED
test_kron.py::test_kron[dtype4-shape2] PASSED
test_kron.py::test_kron[dtype4-shape3] PASSED
test_kron.py::test_kron[dtype4-shape4] PASSED
test_kron.py::test_kron[dtype4-shape5] PASSED
test_kron.py::test_kron[dtype4-shape6] PASSED
test_kron.py::test_kron[dtype4-shape7] PASSED
test_kron.py::test_kron[dtype4-shape8] PASSED
test_kron.py::test_kron[dtype4-shape9] PASSED
test_kron.py::test_kron[dtype4-shape10] PASSED
test_kron.py::test_kron[dtype4-shape11] PASSED
test_kron.py::test_kron[dtype4-shape12] PASSED
test_kron.py::test_kron[dtype4-shape13] PASSED
test_kron.py::test_kron[dtype4-shape14] PASSED
test_kron.py::test_kron[dtype5-shape0] PASSED
test_kron.py::test_kron[dtype5-shape1] PASSED
test_kron.py::test_kron[dtype5-shape2] PASSED
test_kron.py::test_kron[dtype5-shape3] PASSED
test_kron.py::test_kron[dtype5-shape4] PASSED
test_kron.py::test_kron[dtype5-shape5] PASSED
test_kron.py::test_kron[dtype5-shape6] PASSED
test_kron.py::test_kron[dtype5-shape7] PASSED
test_kron.py::test_kron[dtype5-shape8] PASSED
test_kron.py::test_kron[dtype5-shape9] PASSED
test_kron.py::test_kron[dtype5-shape10] PASSED
test_kron.py::test_kron[dtype5-shape11] PASSED
test_kron.py::test_kron[dtype5-shape12] PASSED
test_kron.py::test_kron[dtype5-shape13] PASSED
test_kron.py::test_kron[dtype5-shape14] PASSED

==================== 90 passed, 51001 deselected in 19.47s =====================
