============================= test session starts ==============================
platform linux -- Python 3.10.15, pytest-9.0.2, pluggy-1.6.0 -- /root/miniconda/envs/python310_torch25_cuda/bin/python3.1
cachedir: .pytest_cache
metadata: {'Python': '3.10.15', 'Platform': 'Linux-5.15.0-105-generic-x86_64-with-glibc2.31', 'Packages': {'pytest': '9.0.2', 'pluggy': '1.6.0'}, 'Plugins': {'html': '4.1.1', 'metadata': '3.1.1', 'timeout': '2.3.1', 'anyio': '4.9.0', 'typeguard': '4.4.4'}}
rootdir: /workspace/FlagGems
configfile: pytest.ini
plugins: html-4.1.1, metadata-3.1.1, timeout-2.3.1, anyio-4.9.0, typeguard-4.4.4
collecting ... vLLM not installed, the native pytorch implementation of FlashMLA for comparison
collected 51091 items / 50771 deselected / 320 selected

test_sort.py::test_sort[0-dtype0-True-1-4] PASSED
test_sort.py::test_sort[0-dtype0-True-1-8] PASSED
test_sort.py::test_sort[0-dtype0-True-256-4] PASSED
test_sort.py::test_sort[0-dtype0-True-256-8] PASSED
test_sort.py::test_sort[0-dtype0-True-2048-4] PASSED
test_sort.py::test_sort[0-dtype0-True-2048-8] PASSED
test_sort.py::test_sort[0-dtype0-True-9333-4] PASSED
test_sort.py::test_sort[0-dtype0-True-9333-8] PASSED
test_sort.py::test_sort[0-dtype0-True-65536-4] PASSED
test_sort.py::test_sort[0-dtype0-True-65536-8] PASSED
test_sort.py::test_sort[0-dtype0-True-32768-4] PASSED
test_sort.py::test_sort[0-dtype0-True-32768-8] PASSED
test_sort.py::test_sort[0-dtype0-True-131072-4] PASSED
test_sort.py::test_sort[0-dtype0-True-131072-8] PASSED
test_sort.py::test_sort[0-dtype0-True-262144-4] PASSED
test_sort.py::test_sort[0-dtype0-True-262144-8] PASSED
test_sort.py::test_sort[0-dtype0-False-1-4] PASSED
test_sort.py::test_sort[0-dtype0-False-1-8] PASSED
test_sort.py::test_sort[0-dtype0-False-256-4] PASSED
test_sort.py::test_sort[0-dtype0-False-256-8] PASSED
test_sort.py::test_sort[0-dtype0-False-2048-4] PASSED
test_sort.py::test_sort[0-dtype0-False-2048-8] PASSED
test_sort.py::test_sort[0-dtype0-False-9333-4] PASSED
test_sort.py::test_sort[0-dtype0-False-9333-8] PASSED
test_sort.py::test_sort[0-dtype0-False-65536-4] PASSED
test_sort.py::test_sort[0-dtype0-False-65536-8] PASSED
test_sort.py::test_sort[0-dtype0-False-32768-4] PASSED
test_sort.py::test_sort[0-dtype0-False-32768-8] PASSED
test_sort.py::test_sort[0-dtype0-False-131072-4] PASSED
test_sort.py::test_sort[0-dtype0-False-131072-8] PASSED
test_sort.py::test_sort[0-dtype0-False-262144-4] PASSED
test_sort.py::test_sort[0-dtype0-False-262144-8] PASSED
test_sort.py::test_sort[0-dtype1-True-1-4] PASSED
test_sort.py::test_sort[0-dtype1-True-1-8] PASSED
test_sort.py::test_sort[0-dtype1-True-256-4] PASSED
test_sort.py::test_sort[0-dtype1-True-256-8] PASSED
test_sort.py::test_sort[0-dtype1-True-2048-4] PASSED
test_sort.py::test_sort[0-dtype1-True-2048-8] PASSED
test_sort.py::test_sort[0-dtype1-True-9333-4] PASSED
test_sort.py::test_sort[0-dtype1-True-9333-8] PASSED
test_sort.py::test_sort[0-dtype1-True-65536-4] PASSED
test_sort.py::test_sort[0-dtype1-True-65536-8] PASSED
test_sort.py::test_sort[0-dtype1-True-32768-4] PASSED
test_sort.py::test_sort[0-dtype1-True-32768-8] PASSED
test_sort.py::test_sort[0-dtype1-True-131072-4] PASSED
test_sort.py::test_sort[0-dtype1-True-131072-8] PASSED
test_sort.py::test_sort[0-dtype1-True-262144-4] PASSED
