============================= test session starts ==============================
platform linux -- Python 3.10.15, pytest-9.0.2, pluggy-1.6.0 -- /root/miniconda/envs/python310_torch25_cuda/bin/python3.1
cachedir: .pytest_cache
metadata: {'Python': '3.10.15', 'Platform': 'Linux-5.15.0-105-generic-x86_64-with-glibc2.31', 'Packages': {'pytest': '9.0.2', 'pluggy': '1.6.0'}, 'Plugins': {'html': '4.1.1', 'metadata': '3.1.1', 'timeout': '2.3.1', 'anyio': '4.9.0', 'typeguard': '4.4.4'}}
rootdir: /workspace/FlagGems
configfile: pytest.ini
plugins: html-4.1.1, metadata-3.1.1, timeout-2.3.1, anyio-4.9.0, typeguard-4.4.4
collecting ... vLLM not installed, the native pytorch implementation of FlashMLA for comparison
collected 51091 items / 50777 deselected / 314 selected

test_to_copy.py::test_to_dtype[torch.float16-shape0] PASSED
test_to_copy.py::test_to_dtype[torch.float16-shape1] PASSED
test_to_copy.py::test_to_dtype[torch.float16-shape2] PASSED
test_to_copy.py::test_to_dtype[torch.float16-shape3] PASSED
test_to_copy.py::test_to_dtype[torch.float16-shape4] PASSED
test_to_copy.py::test_to_dtype[torch.float16-shape5] PASSED
test_to_copy.py::test_to_dtype[torch.float32-shape0] PASSED
test_to_copy.py::test_to_dtype[torch.float32-shape1] PASSED
test_to_copy.py::test_to_dtype[torch.float32-shape2] PASSED
test_to_copy.py::test_to_dtype[torch.float32-shape3] PASSED
test_to_copy.py::test_to_dtype[torch.float32-shape4] PASSED
test_to_copy.py::test_to_dtype[torch.float32-shape5] PASSED
test_to_copy.py::test_to_dtype[torch.bfloat16-shape0] PASSED
test_to_copy.py::test_to_dtype[torch.bfloat16-shape1] PASSED
test_to_copy.py::test_to_dtype[torch.bfloat16-shape2] PASSED
test_to_copy.py::test_to_dtype[torch.bfloat16-shape3] PASSED
test_to_copy.py::test_to_dtype[torch.bfloat16-shape4] PASSED
test_to_copy.py::test_to_dtype[torch.bfloat16-shape5] PASSED
test_to_copy.py::test_to_dtype[torch.int16-shape0] PASSED
test_to_copy.py::test_to_dtype[torch.int16-shape1] PASSED
test_to_copy.py::test_to_dtype[torch.int16-shape2] PASSED
test_to_copy.py::test_to_dtype[torch.int16-shape3] PASSED
test_to_copy.py::test_to_dtype[torch.int16-shape4] PASSED
test_to_copy.py::test_to_dtype[torch.int16-shape5] PASSED
test_to_copy.py::test_to_dtype[torch.int32-shape0] PASSED
test_to_copy.py::test_to_dtype[torch.int32-shape1] PASSED
test_to_copy.py::test_to_dtype[torch.int32-shape2] PASSED
test_to_copy.py::test_to_dtype[torch.int32-shape3] PASSED
test_to_copy.py::test_to_dtype[torch.int32-shape4] PASSED
test_to_copy.py::test_to_dtype[torch.int32-shape5] PASSED
test_to_copy.py::test_to_dtype[torch.int64-shape0] PASSED
test_to_copy.py::test_to_dtype[torch.int64-shape1] PASSED
test_to_copy.py::test_to_dtype[torch.int64-shape2] PASSED
test_to_copy.py::test_to_dtype[torch.int64-shape3] PASSED
test_to_copy.py::test_to_dtype[torch.int64-shape4] PASSED
test_to_copy.py::test_to_dtype[torch.int64-shape5] PASSED
test_to_copy.py::test_to_dtype[torch.complex32-shape0] PASSED
test_to_copy.py::test_to_dtype[torch.complex32-shape1] PASSED
test_to_copy.py::test_to_dtype[torch.complex32-shape2] PASSED
test_to_copy.py::test_to_dtype[torch.complex32-shape3] PASSED
test_to_copy.py::test_to_dtype[torch.complex32-shape4] PASSED
test_to_copy.py::test_to_dtype[torch.complex32-shape5] PASSED
test_to_copy.py::test_to_dtype[torch.complex64-shape0] PASSED
test_to_copy.py::test_to_dtype[torch.complex64-shape1] PASSED
