============================= test session starts ==============================
platform linux -- Python 3.10.15, pytest-9.0.2, pluggy-1.6.0 -- /root/miniconda/envs/python310_torch25_cuda/bin/python3.1
cachedir: .pytest_cache
metadata: {'Python': '3.10.15', 'Platform': 'Linux-5.15.0-105-generic-x86_64-with-glibc2.31', 'Packages': {'pytest': '9.0.2', 'pluggy': '1.6.0'}, 'Plugins': {'html': '4.1.1', 'metadata': '3.1.1', 'timeout': '2.3.1', 'anyio': '4.9.0', 'typeguard': '4.4.4'}}
rootdir: /workspace/FlagGems
configfile: pytest.ini
plugins: html-4.1.1, metadata-3.1.1, timeout-2.3.1, anyio-4.9.0, typeguard-4.4.4
collecting ... vLLM not installed, the native pytorch implementation of FlashMLA for comparison
collected 51091 items / 51029 deselected / 62 selected

test_topk.py::test_topk[dtype0-True-0-128-4] PASSED
test_topk.py::test_topk[dtype0-True-0-128-8] PASSED
test_topk.py::test_topk[dtype0-True-0-256-4] PASSED
test_topk.py::test_topk[dtype0-True-0-256-8] PASSED
test_topk.py::test_topk[dtype0-True-5-128-4] PASSED
test_topk.py::test_topk[dtype0-True-5-128-8] PASSED
test_topk.py::test_topk[dtype0-True-5-256-4] PASSED
test_topk.py::test_topk[dtype0-True-5-256-8] PASSED
test_topk.py::test_topk[dtype0-False-0-128-4] PASSED
test_topk.py::test_topk[dtype0-False-0-128-8] PASSED
test_topk.py::test_topk[dtype0-False-0-256-4] PASSED
test_topk.py::test_topk[dtype0-False-0-256-8] PASSED
test_topk.py::test_topk[dtype0-False-5-128-4] PASSED
test_topk.py::test_topk[dtype0-False-5-128-8] PASSED
test_topk.py::test_topk[dtype0-False-5-256-4] PASSED
test_topk.py::test_topk[dtype0-False-5-256-8] PASSED
test_topk.py::test_topk[dtype1-True-0-128-4] PASSED
test_topk.py::test_topk[dtype1-True-0-128-8] PASSED
test_topk.py::test_topk[dtype1-True-0-256-4] PASSED
test_topk.py::test_topk[dtype1-True-0-256-8] PASSED
test_topk.py::test_topk[dtype1-True-5-128-4] PASSED
test_topk.py::test_topk[dtype1-True-5-128-8] PASSED
test_topk.py::test_topk[dtype1-True-5-256-4] PASSED
test_topk.py::test_topk[dtype1-True-5-256-8] PASSED
test_topk.py::test_topk[dtype1-False-0-128-4] PASSED
test_topk.py::test_topk[dtype1-False-0-128-8] PASSED
test_topk.py::test_topk[dtype1-False-0-256-4] PASSED
test_topk.py::test_topk[dtype1-False-0-256-8] PASSED
test_topk.py::test_topk[dtype1-False-5-128-4] PASSED
test_topk.py::test_topk[dtype1-False-5-128-8] PASSED
test_topk.py::test_topk[dtype1-False-5-256-4] PASSED
test_topk.py::test_topk[dtype1-False-5-256-8] PASSED
test_topk.py::test_topk[dtype2-True-0-128-4] PASSED
test_topk.py::test_topk[dtype2-True-0-128-8] PASSED
test_topk.py::test_topk[dtype2-True-0-256-4] PASSED
test_topk.py::test_topk[dtype2-True-0-256-8] PASSED
test_topk.py::test_topk[dtype2-True-5-128-4] PASSED
test_topk.py::test_topk[dtype2-True-5-128-8] PASSED
test_topk.py::test_topk[dtype2-True-5-256-4] PASSED
test_topk.py::test_topk[dtype2-True-5-256-8] PASSED
test_topk.py::test_topk[dtype2-False-0-128-4] PASSED
test_topk.py::test_topk[dtype2-False-0-128-8] PASSED
test_topk.py::test_topk[dtype2-False-0-256-4] PASSED
test_topk.py::test_topk[dtype2-False-0-256-8] PASSED
test_topk.py::test_topk[dtype2-False-5-128-4] PASSED
test_topk.py::test_topk[dtype2-False-5-128-8] PASSED
test_topk.py::test_topk[dtype2-False-5-256-4] PASSED
test_topk.py::test_topk[dtype2-False-5-256-8] PASSED
test_topk.py::test_topk_3d_lastdim[dtype0-shape0-256] PASSED
test_topk.py::test_topk_3d_lastdim[dtype0-shape1-32] PASSED
test_topk.py::test_topk_3d_lastdim[dtype0-shape2-64] PASSED
test_topk.py::test_topk_3d_lastdim[dtype0-shape3-128] PASSED
test_topk.py::test_topk_3d_lastdim[dtype1-shape0-256] PASSED
test_topk.py::test_topk_3d_lastdim[dtype1-shape1-32] PASSED
test_topk.py::test_topk_3d_lastdim[dtype1-shape2-64] PASSED
test_topk.py::test_topk_3d_lastdim[dtype1-shape3-128] PASSED
test_topk.py::test_topk_3d_lastdim[dtype2-shape0-256] PASSED
test_topk.py::test_topk_3d_lastdim[dtype2-shape1-32] PASSED
test_topk.py::test_topk_3d_lastdim[dtype2-shape2-64] PASSED
test_topk.py::test_topk_3d_lastdim[dtype2-shape3-128] PASSED
test_topk.py::test_topk_radix_tle_config_uses_large_fp32_shape_heuristic PASSED
test_topk.py::test_topk_radix_tle_large_fp32_k256_correctness SKIPPED

=============== 61 passed, 1 skipped, 51029 deselected in 19.21s ===============
