============================= test session starts ==============================
platform linux -- Python 3.10.15, pytest-9.0.2, pluggy-1.6.0 -- /root/miniconda/envs/python310_torch25_cuda/bin/python3.1
cachedir: .pytest_cache
metadata: {'Python': '3.10.15', 'Platform': 'Linux-5.15.0-105-generic-x86_64-with-glibc2.31', 'Packages': {'pytest': '9.0.2', 'pluggy': '1.6.0'}, 'Plugins': {'html': '4.1.1', 'metadata': '3.1.1', 'timeout': '2.3.1', 'anyio': '4.9.0', 'typeguard': '4.4.4'}}
rootdir: /workspace/FlagGems
configfile: pytest.ini
plugins: html-4.1.1, metadata-3.1.1, timeout-2.3.1, anyio-4.9.0, typeguard-4.4.4
collecting ... vLLM not installed, the native pytorch implementation of FlashMLA for comparison
collected 51091 items / 50803 deselected / 288 selected

test_vdot.py::test_vdot[1-dtype0-is_conj0-M0] PASSED
test_vdot.py::test_vdot[1-dtype0-is_conj0-M1] PASSED
test_vdot.py::test_vdot[1-dtype0-is_conj0-M2] PASSED
test_vdot.py::test_vdot[1-dtype0-is_conj0-M3] PASSED
test_vdot.py::test_vdot[1-dtype0-is_conj0-M4] PASSED
test_vdot.py::test_vdot[1-dtype0-is_conj0-M5] PASSED
test_vdot.py::test_vdot[1-dtype0-is_conj0-M6] PASSED
test_vdot.py::test_vdot[1-dtype0-is_conj0-M7] PASSED
test_vdot.py::test_vdot[1-dtype0-is_conj0-M8] PASSED
test_vdot.py::test_vdot[1-dtype0-is_conj1-M0] PASSED
test_vdot.py::test_vdot[1-dtype0-is_conj1-M1] PASSED
test_vdot.py::test_vdot[1-dtype0-is_conj1-M2] PASSED
test_vdot.py::test_vdot[1-dtype0-is_conj1-M3] PASSED
test_vdot.py::test_vdot[1-dtype0-is_conj1-M4] PASSED
test_vdot.py::test_vdot[1-dtype0-is_conj1-M5] PASSED
test_vdot.py::test_vdot[1-dtype0-is_conj1-M6] PASSED
test_vdot.py::test_vdot[1-dtype0-is_conj1-M7] PASSED
test_vdot.py::test_vdot[1-dtype0-is_conj1-M8] PASSED
test_vdot.py::test_vdot[1-dtype0-is_conj2-M0] PASSED
test_vdot.py::test_vdot[1-dtype0-is_conj2-M1] PASSED
test_vdot.py::test_vdot[1-dtype0-is_conj2-M2] PASSED
test_vdot.py::test_vdot[1-dtype0-is_conj2-M3] PASSED
test_vdot.py::test_vdot[1-dtype0-is_conj2-M4] PASSED
test_vdot.py::test_vdot[1-dtype0-is_conj2-M5] PASSED
test_vdot.py::test_vdot[1-dtype0-is_conj2-M6] PASSED
test_vdot.py::test_vdot[1-dtype0-is_conj2-M7] PASSED
test_vdot.py::test_vdot[1-dtype0-is_conj2-M8] PASSED
test_vdot.py::test_vdot[1-dtype0-is_conj3-M0] PASSED
test_vdot.py::test_vdot[1-dtype0-is_conj3-M1] PASSED
test_vdot.py::test_vdot[1-dtype0-is_conj3-M2] PASSED
test_vdot.py::test_vdot[1-dtype0-is_conj3-M3] PASSED
test_vdot.py::test_vdot[1-dtype0-is_conj3-M4] PASSED
test_vdot.py::test_vdot[1-dtype0-is_conj3-M5] PASSED
test_vdot.py::test_vdot[1-dtype0-is_conj3-M6] PASSED
test_vdot.py::test_vdot[1-dtype0-is_conj3-M7] PASSED
test_vdot.py::test_vdot[1-dtype0-is_conj3-M8] PASSED
test_vdot.py::test_vdot[1-dtype1-is_conj0-M0] PASSED
test_vdot.py::test_vdot[1-dtype1-is_conj0-M1] PASSED
test_vdot.py::test_vdot[1-dtype1-is_conj0-M2] PASSED
test_vdot.py::test_vdot[1-dtype1-is_conj0-M3] PASSED
test_vdot.py::test_vdot[1-dtype1-is_conj0-M4] PASSED
